document_url,song_url,embed
https://help.synapse.org/docs/Downloading-Data-From-the-Synapse-UI.2004254837.html,https://suno.com/s/MLUvpXOvue4IDdVW,"<iframe src=""https://suno.com/embed/8117cf6c-e524-47d8-af14-08045098b4fa"" width=""760"" height=""240""><a href=""https://suno.com/song/8117cf6c-e524-47d8-af14-08045098b4fa"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Downloading-Data-Programmatically-From-a-Portal.1982693983.html,https://suno.com/s/ugYO7hCV6qrnrNVE,"<iframe src=""https://suno.com/embed/5349c699-3ece-40a7-83de-836f3480fc25"" width=""760"" height=""240""><a href=""https://suno.com/song/5349c699-3ece-40a7-83de-836f3480fc25"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Downloading-Data-Programmatically.2003796248.html,https://suno.com/s/obFTifJxQqDtMrSk,"<iframe src=""https://suno.com/embed/98c53659-ba5c-40da-a5d2-e0e75ba06849"" width=""760"" height=""240""><a href=""https://suno.com/song/98c53659-ba5c-40da-a5d2-e0e75ba06849"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Evaluating-Submissions.4156948561.html,https://suno.com/s/PwXbQn30Qz35pkSA,"<iframe src=""https://suno.com/embed/3f8e893f-d6a1-4f52-9f92-cb02da6376c6"" width=""760"" height=""240""><a href=""https://suno.com/song/3f8e893f-d6a1-4f52-9f92-cb02da6376c6"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Evaluation-Queues.1985151345.html,https://suno.com/s/2Ory1rXBJXu4R93d,"<iframe src=""https://suno.com/embed/e5d768f2-fde5-4eda-8c0d-8f0338ae33cc"" width=""760"" height=""240""><a href=""https://suno.com/song/e5d768f2-fde5-4eda-8c0d-8f0338ae33cc"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/FAQ.2047967233.html,https://suno.com/s/WzoA3FLBZoASy3L2,"<iframe src=""https://suno.com/embed/3dd7ddea-f3e4-411c-b99c-ebbef4065591"" width=""760"" height=""240""><a href=""https://suno.com/song/3dd7ddea-f3e4-411c-b99c-ebbef4065591"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Finding-and-Downloading-Data.2003796231.html,https://suno.com/s/kHowSjwo787ebqPy,"<iframe src=""https://suno.com/embed/37a8ddfb-42ca-4bfe-90e9-d6c0c5131c66"" width=""760"" height=""240""><a href=""https://suno.com/song/37a8ddfb-42ca-4bfe-90e9-d6c0c5131c66"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Getting-Started.2055471150.html,https://suno.com/s/DcTDgOjXcAjGbMbM,"<iframe src="https://suno.com/embed/ddcba358-3a60-4a79-903f-0c916c576e26" width="760" height="240"><a href="https://suno.com/song/ddcba358-3a60-4a79-903f-0c916c576e26">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Help.2650865669.html,https://suno.com/s/yp11D5o19W6BxsL6,"<iframe src=""https://suno.com/embed/fcfab73e-cabe-466b-bba9-a2b3844f1eec"" width=""760"" height=""240""><a href=""https://suno.com/song/fcfab73e-cabe-466b-bba9-a2b3844f1eec"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Installing-Synapse-API-Clients.1985249668.html,https://suno.com/s/cijJSpwVK4Zuk9S8,"<iframe src=""https://suno.com/embed/e5874b6a-f97c-4a21-99f7-8355b914820d"" width=""760"" height=""240""><a href=""https://suno.com/song/e5874b6a-f97c-4a21-99f7-8355b914820d"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Integrating-Synapse-With-Your-RNA-Seq-Workflow.1985184309.html,https://suno.com/s/bFMkmhqCvWzx0zRg,"<iframe src=""https://suno.com/embed/6eea9d7e-2197-424d-a132-5f4284c927df"" width=""760"" height=""240""><a href=""https://suno.com/song/6eea9d7e-2197-424d-a132-5f4284c927df"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Linking-to-External-Repositories-and-Registries-with-Bioregistry.4308959301.html,https://suno.com/s/PzxVE2daIyGC3KuP,"<iframe src=""https://suno.com/embed/67b1ea8c-4c57-4187-8f37-df41e8f8c0a5"" width=""760"" height=""240""><a href=""https://suno.com/song/67b1ea8c-4c57-4187-8f37-df41e8f8c0a5"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Managing-Data-Access-With-Teams.2030502408.html,https://suno.com/s/xKgEiENdCmpvHW2x,"<iframe src=""https://suno.com/embed/caa78258-3875-4920-abce-34df35b08c31"" width=""760"" height=""240""><a href=""https://suno.com/song/caa78258-3875-4920-abce-34df35b08c31"">Listen on Suno</a></iframe>"
https://help.synapse.org/docs/Managing-Files-and-Folders.2058846522.html,https://suno.com/s/oF0QchP20PKCmQKn,"<iframe src=""https://suno.com/embed/bada4d87-1f86-4a18-829b-30935cbaeb0d"" width=""760"" height=""240""><a href=""https://suno.com/song/bada4d87-1f86-4a18-829b-30935cbaeb0d"">Listen on Suno</a></iframe>"
